,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
985,301977.5055936073,0.0,396546.96316988755,0,0.0,0.2674545444406294,1393350.1903295747,0.28379868260612123,1153288.154177857,3880973.78705161,12895.574140897665,196999.8368413537,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1979,Aug04v1,CONUS,-1,0,1979,-1,-1,-1,67599.35061855275,396546.96316988755,0.0,0.0,1.0,0.0
604,309578.18920765026,10.104325935667136,372579.9821656737,0,0.0,0.26395246787924637,1393350.1903295747,0.27400936253503594,1153288.154177857,3880973.78705161,14755.46252941651,216937.7101555522,22189.09975472503,1,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1980,Aug04v1,CONUS,-1,0,1980,-1,-1,-1,67700.39387790942,372579.9821656737,10.104325935667136,22189.09975472503,1.0,0.0
1467,302284.44771689497,187.62211138984745,368437.83405019314,0,0.0,0.25912471314351126,1393350.1903295747,0.2701820545982502,1153288.154177857,3880973.78705161,19005.088439481064,260574.14078224913,122378.13337174177,5,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1981,Aug04v1,CONUS,-1,0,1981,-1,-1,-1,69475.57173245125,368437.83405019314,187.62211138984745,122378.13337174177,1.0,0.0
81,299633.2605022831,0.0,379067.3108155077,0,0.0,0.2566909347760672,1393350.1903295747,0.27972785144362056,1153288.154177857,3880973.78705161,14081.467050675523,180136.9615206609,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1982,Aug04v1,CONUS,-1,0,1982,-1,-1,-1,67599.35061855275,379067.3108155077,0.0,0.0,1.0,0.0
631,305800.8093607306,0.0,355647.1355128016,0,0.0,0.25458505936381387,1393350.1903295747,0.2675755547752008,1153288.154177857,3880973.78705161,16806.46797445938,227554.68741913745,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1983,Aug04v1,CONUS,-1,0,1983,-1,-1,-1,67599.35061855275,355647.1355128016,0.0,0.0,1.0,0.0
1458,300952.78608834243,0.0,387104.07539083605,0,0.0,0.2595475552552688,1393350.1903295747,0.28445890763276277,1153288.154177857,3880973.78705161,14800.035036839776,217279.90241990722,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1984,Aug04v1,CONUS,-1,0,1984,-1,-1,-1,67599.35061855277,387104.07539083605,0.0,0.0,1.0,0.0
1624,304312.90342465753,0.0,395090.3527820224,0,0.0,0.2627501869639085,1393350.1903295747,0.29012179959123024,1153288.154177857,3880973.78705161,11624.30941488157,199044.98590846,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1985,Aug04v1,CONUS,-1,0,1985,-1,-1,-1,67599.35061855275,395090.3527820224,0.0,0.0,1.0,0.0
1253,301565.7832191781,67.43474471099886,370392.79974385985,0,0.0,0.2586173468685507,1393350.1903295747,0.2717274504417589,1153288.154177857,3880973.78705161,16477.75960472844,231196.01633683278,125626.23616767282,2,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1986,Aug04v1,CONUS,-1,0,1986,-1,-1,-1,68273.69806566276,370392.79974385985,67.43474471099886,125626.23616767282,1.0,0.0
710,303652.43230593606,0.0,347622.9875502187,0,0.0,0.26164664662124054,1393350.1903295747,0.2502367280831821,1153288.154177857,3880973.78705161,16944.05973180988,212935.29036778666,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1987,Aug04v1,CONUS,-1,0,1987,-1,-1,-1,67599.35061855275,347622.9875502187,0.0,0.0,1.0,0.0
857,307889.9653916211,274.65734200487066,398577.0394574772,0,0.0,0.2648600958818636,1393350.1903295747,0.293708643783056,1153288.154177857,3880973.78705161,14211.835118929914,191192.78347386522,208789.10689542745,6,0.0,optimal,nYrs_20210220_SWB_DYrs0_Tested1988,Aug04v1,CONUS,-1,0,1988,-1,-1,-1,70345.92403860146,398577.0394574772,274.65734200487066,208789.10689542745,1.0,0.0
